Number,Name,Types,Species,Description,Weight,Height,Stamina,Attack,Defense,Candy,CPGain,MaxCP,NormalMoves,SpecialMoves,EvolveFrom,EvolveInto
#001,Bulbasaur,"Grass,Poison",Pokémon Hạt Giống,Trên lưng của Bulbasaur có một hạt giống có thể nở nhờ ánh sáng nên nó thường ngủ trưa dưới ánh mặt trời. ,6.9,0.7,90,126,126,25,13.8,1071,"Vine Whip,Tackle","Sludge Bomb,Seed Bomb,Power Whip",,#002
#002,Ivysaur,"Grass,Poison",Pokémon Hạt Giống,"Sau khi tiến hoá từ Bulbasaur, hạt giống trên lưng trở thành nụ hoa. Vì vậy nó dành nhiều hơn thời gian dưới ánh mặt trời để tiến hoá.",13.0,1,120,156,158,100,21.6,1632,"Razor Leaf,Vine Whip","Sludge Bomb,Solar Beam,Power Whip",#001,#003
#003,Venusaur,"Grass,Poison",Pokémon Hạt Giống,Dạng tiến hoá cao nhất khi mà hạt giống trên lưng đã nở thành hoa.Hương thơm từ hoa có thể làm dịu cảm xúc khi hít phải.,100.0,2,160,198,200,,34.8,2580,"Razor Leaf,Vine Whip","Sludge Bomb,Petal Blizzard,Solar Beam",#002,
#004,Charmander,Fire,Pokémon Thằn Lằn,Ngọn lửa cháy trên đuôi biểu hiện cho cảm xúc của Charmander. Ngọn lửa nhấp nháy những lúc vui buồn hoặc cháy dữ dội khi chiến đấu.,8.5,0.6,78,128,108,25,12.2,955,"Ember,Scratch","Flame Charge,Flame Burst,Flamethrower",,#005
#005,Charmeleon,Fire,Pokémon Lửa,"Charmeleon rất hiếu chiến với bộ vuốt sắc nhọn của nó. Ở trạng thái hưng phấn khi đối đầu với đối thủ mạnh, ngọn lửa trên đuôi của Charmeleon chuyển sang màu trắng xanh.",19.0,1.1,116,160,140,100,20.5,1557,"Ember,Scratch","Fire Punch,Flame Burst,Flamethrower",#004,#006
#006,Charizard,"Fire,Flying",Pokémon Lửa,Charizard có khả năng bay lượn và luôn tìm những đối thủ mạnh mẽ hơn nó để chiến đấu. Nó có khả năng thổi ra những ngọn lửa với nhiệt độ cực cao và làm tan chảy tất cả.,90.5,1.7,156,212,182,,35.1,2602,"Ember,Wing Attack","Fire Blast,Dragon Claw,Flamethrower",#005,
#007,Squirtle,Water,Pokémon Rùa Con,Mai của Squirtle ngoài khả năng phòng thủ còn giúp nó bơi lội cực nhanh trong nước bằng vào hình dáng tròn trịa của mình.,9.0,0.5,88,112,142,25,13,1008,"Bubble,Tackle","Aqua Jet,Aqua Tail,Water Pulse",,#008
#008,Wartortle,Water,Pokémon Rùa,"Sau khi tiến hoá, đuôi của Wartortle lớn và dày hơn, đồng thời màu sắc của đuôi cũng đại diện cho tuổi thọ của nó. Bên cạnh đó, những vết sẹo trên mai cũng thể hiện cho chiến tích của nó qua những trận đấu.",22.5,1,118,144,176,100,20.9,1582,"Water Gun,Bite","Aqua Jet,Ice Beam,Hydro Pump",#007,#009
#009,Blastoise,Water,Pokémon Rùa,Blastoise có hai cây súng nước trên mai của nó với khả năng bắn ra nhưng viên đạn nước có độ chính xác cực cao và xa.,85.5,1.6,158,186,222,,34.3,2542,"Water Gun,Bite","Flash Cannon,Ice Beam,Hydro Pump",#008,
#010,Caterpie,Bug,Pokémon Sâu,"Caterpie rất tham ăn, nó có thể ăn lượng lá cây lớn hơn nó nhiều lần. Sừng của nó có khả năng toả ra mùi cực mạnh để xua đuổi pokémon khác.",2.9,0.3,90,62,66,12,5.3,443,"Bug Bite,Tackle",Struggle,,#011
#011,Metapod,Bug,Pokémon Nhộng,Metapod có lớp vỏ cứng như sắt. Nó rất ít di chuyển mà chờ đợi tới lúc tiến hoá sau này.,9.9,0.7,100,56,86,50,5.8,477,"Bug Bite,Tackle",Struggle,#010,#012
#012,Butterfree,"Bug,Flying",Pokémon Bướm,Butterfree rất giỏi trong việc tìm kiếm và thu thập mật hoa từ khoảng cách xa.,32.0,1.1,120,144,144,,19.1,1454,"Bug Bite,Confusion","Bug Buzz,Psychic,Signal Beam",#011,
#013,Weedle,"Bug,Poison",Pokémon Sâu Lông,Weedle có khứa giác rất nhạy. Bằng cái mũi to tròn của mình nó có thể tìm kiếm những loại lá yêu thích.,3.2,0.3,80,68,64,12,5.4,449,"Bug Bite,Poison Sting",Struggle,,#014
#014,Kakuna,"Bug,Poison",Pokémon Nhộng,"Kakuna luôn treo mình trên cây để chuẩn bị tiến hoá. Quá trình tiến hoá càng lâu, vỏ của nó sẽ càng nóng.",10.0,0.6,90,62,82,50,5.9,485,"Bug Bite,Poison Sting",Struggle,#013,#015
#015,Beedrill,"Bug,Poison",Pokémon Ong độc,Beedrill trở nên cực kì nguy hiểm khi có người tiếp cận tổ của nó. Đáng sợ nhất là nó luôn tấn công theo bầy.,29.5,1,130,144,130,,18.9,1439,"Bug Bite,Poison Jab","Sludge Bomb,Aerial Ace,X Scissor",#014,
#016,Pidgey,"Normal,Flying",Pokémon Chim Con,Pidgey có khả năng xác định phương hướng rất tốt giúp nó di chuyển khoảng cách xa mà không bị lac.,1.8,0.3,80,94,90,12,8.5,679,"Quick Attack,Tackle","Twister,Aerial Ace,Air Cutter",,#017
#017,Pidgeotto,"Normal,Flying",Pokémon Chim,Pidgeotto luôn chiếm một khu vực lãnh thổ rất rộng và luôn tấn công những kẻ xâm nhập bằng bộ móng sắc nhọn của nó.,30.0,1.1,126,126,122,50,16,1223,"Wing Attack,Steel Wing","Twister,Aerial Ace,Air Cutter",#016,#018
#018,Pidgeot,"Normal,Flying",Pokémon Chim,Pidgeot có một bộ lông rực rỡ với nhưng chiếc lông lộng lẫy. Đặc biệt là những chiếc lông trên đầu của nó khiến rất nhiều huấn luyện viên chọn Pidgeot trở thành pokémon của họ.,39.5,1.5,166,170,166,,28,2091,"Wing Attack,Steel Wing","Hurricane,Aerial Ace,Air Cutter",#017,
#019,Rattata,Normal,Pokémon Chuột,Rattata cực kì cẩn thận và đề phòng xung quanh bằng đôi tai lớn của nó. Nó khá dễ tính và có thể sống ở bất cứ đâu.,3.5,0.3,60,92,86,25,7.2,581,"Tackle,Quick Attack","Dig,Hyper Fang,Body Slam",,#020
#020,Raticate,Normal,Pokémon Chuột,"Với cặp răng nanh lớn, Raticate có khả năng gặm nhấm gỗ, đá và thậm chí là bức tường nhà.",18.5,0.7,110,146,150,,19,1444,"Bite,Quick Attack","Dig,Hyper Fang,Hyper Beam",#019,
#021,Spearow,"Normal,Flying",Pokémon Chim Con,Spearow có tiếng kêu rất lớn nhằm cảnh báo nguy hiểm cho đồng loại của nó.,2.0,0.3,80,102,78,50,8.6,686,"Peck,Quick Attack","Aerial Ace,Drill Peck,Twister",,#022
#022,Fearow,"Normal,Flying",Pokémon Chim,Fearow có cổ và đặc biệt là mỏ của nó khá dài giúp nó dễ dàng di chuyển và bắt mồi.,38.0,1.2,130,168,146,,23.2,1746,"Peck,Steel Wing","Aerial Ace,Drill Run,Twister",#021,
#023,Ekans,Poison,Pokémon Rắn,Ekans thường cuộn tròn lại nằm nghỉ đồng thời giúp nó phản ứng nhanh khi có nguy hiểm xung quanh.,6.9,2,70,112,112,50,10.5,824,"Poison Sting,Acid","Wrap,Sludge Bomb,Gunk Shot",,#024
#024,Arbok,Poison,Pokémon Rắn Hổ Mang,"Bằng khả năng quấn chặt cực mạnh của mình,đối thủ của  Arbok gần như không thể thoát khỏi khi bị nó quấn phải.",65.0,3.5,120,166,166,,23.5,1767,"Bite,Acid","Dark Pulse,Sludge Wave,Gunk Shot",#023,
#025,Pikachu,Electric,Pokémon Chuột,Pikachu thường thể hiện sự hứng thú của nó bằng các tia điện. Nếu bạn nhìn thì quả berry bị điện cháy đen thì chắc chắn là do Pikachu làm.,6.0,0.4,70,124,108,50,11.3,887,"Thunder Shock,Quick Attack","Discharge,Thunderbolt,Thunder",,#026
#026,Raichu,Electric,Pokémon Chuột,"Do có khả năng phóng điện mạnh nên mỗi khi dòng điện tích luỹ quá lớn, Raichu thường phóng thích dòng điện xuống đất qua cái đuôi bén nhọn của nó.",30.0,0.8,120,200,154,,27.1,2028,"Thunder Shock,Spark","Brick Break,Thunder Punch,Thunder",#025,
#027,Sandshrew,Ground,Pokémon Chuột,Cơ thể của Sandshrew hấp thu nước tốt giúp nó có thể sinh sống trong khu vực sa mạc. Nó thường cuộn tròn cơ thể của mình khi phòng thủ.,12.0,0.6,100,90,114,50,10.1,798,"Scratch,Mud Shot","Dig,Rock Slide,Rock Tomb",,#028
#028,Sandslash,Ground,Pokémon Chuột,Sandslash có những cái gai bén nhọn giúp nó phòng thủ cũng như tấn công. Bộ gai của nó thường được thay thế mỗi năm một lần.,29.5,1,150,150,172,,24.1,1810,"Metal Claw,Mud Shot","Earthquake,Rock Tomb,Bulldoze",#027,
#029,Nidoran♀,Poison,Pokémon Gai Độc,Nidoran♀ có những gai cực độc trên cơ thể để bảo vệ nó. Độc cũng có thể truyền từ sừng của nó khi tấn công.,7.0,0.4,110,100,104,25,11.2,876,"Bite,Poison Sting","Poison Fang,Body Slam,Sludge Bomb",,#030
#030,Nidorina,Poison,Pokémon Gai Độc,Nidorina có khả năng thu lại những gai độc của mình khi ở cùng với đồng loại của mình. Nó thường khá lo lắng khi bị tách khỏi bầy của mình.,20.0,0.8,140,132,136,100,18.4,1404,"Bite,Poison Sting","Poison Fang,Dig,Sludge Bomb",#029,#031
